Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":2, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:12,2020-10-26 19:02:13,0.872s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""grpBldType"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:02:13,2020-10-26 19:02:16,3.725s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""grpBldType"", ""index"":1, ""NoOfVal"":9, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_BUILDING_TYPE' and NAME =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:16,2020-10-26 19:02:51,34.724s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":3, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:51,2020-10-26 19:02:54,2.925s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""gradeTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:02:54,2020-10-26 19:02:57,3.529s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""gradeTypeCd"", ""index"":1, ""NoOfVal"":5, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_GRADE_TYPE' and NAME =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:02:57,2020-10-26 19:03:16,18.275s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":4, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:16,2020-10-26 19:03:18,2.434s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""grpBldCat"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:03:18,2020-10-26 19:03:21,3.220s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""grpBldCat"", ""index"":1, ""NoOfVal"":5, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_BLDG_CATEGORY' and NAME = ""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:21,2020-10-26 19:03:40,18.502s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":5, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:40,2020-10-26 19:03:43,3.048s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""agency"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:03:43,2020-10-26 19:03:46,3.180s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""agency"", ""index"":1, ""NoOfVal"":16, ""DelayTime"":2, ""ColNm"":""AGENCY_DESC"", ""DBTbl"":""VXPFI_AGENCies"", ""Condition1"":""AGENCY_DESC =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:03:46,2020-10-26 19:04:41,54.556s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":6, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:04:41,2020-10-26 19:04:43,2.551s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""agencyOwner"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:04:43,2020-10-26 19:04:46,3.131s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/CommonComboBox""), [""FldNm"":""agencyOwner"", ""NoOfOpt"":3], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify values in combo box.,,2020-10-26 19:04:46,2020-10-26 19:04:51,4.496s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":7, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:04:51,2020-10-26 19:04:54,2.854s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""topCscRef"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:04:54,2020-10-26 19:04:57,3.142s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/AlphaNumericSpecialValidationIndex""), [""FldNm"":""topCscRef"", ""LenChar"":6, ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that field accepts alphanumeric values.,,2020-10-26 19:04:57,2020-10-26 19:04:58,1.608s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/MaxCharLengthIndexValidation""), [""FieldNm"":""topCscRef"", ""index"":1, ""MaxCharLen"":4005], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the maximum chars of the input field.,,2020-10-26 19:04:58,2020-10-26 19:05:08,9.623s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":8, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:05:08,2020-10-26 19:05:09,0.834s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""topCscDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:05:09,2020-10-26 19:05:12,3.178s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/NumericTextboxValidationIndex""), [""nameToBeUsed"":""topCscDt"", ""index"":1, ""minLen"":4], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that the field accepts numeric chars.,,2020-10-26 19:05:12,2020-10-26 19:05:16,3.766s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/SelectDayInDatePickerWithIndexII""), [""FldNm"":""topCscDt"", ""SelectCurrentDay"":""31"", ""index"":1, ""idx"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Select specific date in date picker.,,2020-10-26 19:05:16,2020-10-26 19:05:23,6.833s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/SelectTodayInDatePickerIndex""), [""FldNm"":""topCscDt"", ""index"":1, ""idx"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Select today's date.,,2020-10-26 19:05:23,2020-10-26 19:05:29,5.788s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":9, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:05:29,2020-10-26 19:05:31,1.985s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""ownerTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:05:31,2020-10-26 19:05:34,3.682s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/VerifyDropDownValuesinDB""), [""FldNm"":""ownerTypeCd"", ""index"":1, ""NoOfVal"":17, ""DelayTime"":2, ""ColNm"":""NAME"", ""DBTbl"":""PV_CODE_EXT"", ""Condition1"":""CATEGORY = 'PFI_BLDG_OWNERSHIP_TYPE' and NAME =""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:05:34,2020-10-26 19:06:31,56.521s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""BP No:"", ""index"":10, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:06:31,2020-10-26 19:06:33,2.459s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""mcstNo"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:06:33,2020-10-26 19:06:36,3.191s,PASSED
"callTestCase(findTestCase(""Components/ClickBlueButtonsWithXPI""), [""Button"":""..."", ""Index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click ... button.,,2020-10-26 19:06:36,2020-10-26 19:06:38,1.637s,PASSED
"callTestCase(findTestCase(""Components/ClickBlueButtonsWithXPI""), [""Button"":""Search"", ""Index"":3], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click search button.,,2020-10-26 19:06:38,2020-10-26 19:06:40,1.846s,PASSED
"callTestCase(findTestCase(""Components/ClickLink""), [""LinkToModify"":""1328""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click link of MCST.,,2020-10-26 19:06:40,2020-10-26 19:06:44,4.025s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""Clear"", ""index"":1, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:06:44,2020-10-26 19:06:47,2.948s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""projTitleDesc"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:06:47,2020-10-26 19:06:50,3.220s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/AlphaNumericSpecialValidationIndex""), [""FldNm"":""projTitleDesc"", ""LenChar"":6, ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that field accepts alphanumeric values.,,2020-10-26 19:06:50,2020-10-26 19:06:51,1.225s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/MaxCharLengthIndexValidation""), [""FieldNm"":""projTitleDesc"", ""index"":1, ""MaxCharLen"":4005], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the maximum chars of the input field.,,2020-10-26 19:06:51,2020-10-26 19:07:01,9.477s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""Clear"", ""index"":2, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:07:01,2020-10-26 19:07:03,1.910s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""grpDesc"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:07:03,2020-10-26 19:07:06,2.986s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/AlphaNumericSpecialValidationIndex""), [""FldNm"":""grpDesc"", ""LenChar"":6, ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that field accepts alphanumeric values.,,2020-10-26 19:07:06,2020-10-26 19:07:07,1.559s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/MaxCharLengthIndexValidation""), [""FieldNm"":""grpDesc"", ""index"":1, ""MaxCharLen"":4005], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the maximum chars of the input field.,,2020-10-26 19:07:07,2020-10-26 19:07:20,13.105s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""Group Description "", ""index"":2, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:07:20,2020-10-26 19:07:22,2.101s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""lastInspDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:07:22,2020-10-26 19:07:25,2.851s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/NumericTextboxValidationIndex""), [""nameToBeUsed"":""lastInspDt"", ""index"":1, ""minLen"":4], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that the field accepts numeric chars.,,2020-10-26 19:07:25,2020-10-26 19:07:27,1.915s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/SelectDayInDatePickerWithIndexII""), [""FldNm"":""lastInspDt"", ""SelectCurrentDay"":""31"", ""index"":2, ""idx"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Select specific date in date picker.,,2020-10-26 19:07:27,2020-10-26 19:07:32,5.242s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/SelectTodayInDatePickerIndex""), [""FldNm"":""lastInspDt"", ""index"":2, ""idx"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Select today's date.,,2020-10-26 19:07:32,2020-10-26 19:07:37,4.123s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components/VerifyFieldsLabel""), [""HeaderLbl"":""Group Description "", ""index"":3, ""PFIUtil"":""CreateNewBldg""], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:07:37,2020-10-26 19:07:39,2.371s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""createdDt"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:07:39,2020-10-26 19:07:42,3.218s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/NumericTextboxValidationIndex""), [""nameToBeUsed"":""createdDt"", ""index"":1, ""minLen"":4], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify that the field accepts numeric chars.,,2020-10-26 19:07:42,2020-10-26 19:07:45,2.403s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/SelectDayInDatePickerWithIndexII""), [""FldNm"":""createdDt"", ""SelectCurrentDay"":""31"", ""index"":3, ""idx"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Select specific date in date picker.,,2020-10-26 19:07:45,2020-10-26 19:07:50,5.218s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/SelectTodayInDatePickerIndex""), [""FldNm"":""createdDt"", ""index"":3, ""idx"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Select today's date.,,2020-10-26 19:07:50,2020-10-26 19:07:54,4.410s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""ownerTypeCd"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:07:54,2020-10-26 19:07:57,3.338s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""agency"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:07:57,2020-10-26 19:08:01,3.945s,PASSED
"callTestCase(findTestCase(""Components/HighlightInputFieldXPI""), [""FldNm"":""agencyOwner"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Highlight input field that you will verify.,,2020-10-26 19:08:01,2020-10-26 19:08:05,3.163s,PASSED
"callTestCase(findTestCase(""Components/SelectAllThenDeleteIndex""), [""nameToBeUsed"":""agencyOwner"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:08:05,2020-10-26 19:08:07,2.616s,PASSED
"callTestCase(findTestCase(""Components/SelectAllThenDeleteIndex""), [""nameToBeUsed"":""agency"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:08:07,2020-10-26 19:08:09,2.152s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""agency"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:08:09,2020-10-26 19:08:12,2.685s,PASSED
"callTestCase(findTestCase(""PFI Precision and Scale/PFI Components with Indexing/RequiredFieldValidationIndex""), [""nameToBeUsed"":""agencyOwner"", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Verify the mandatory fields.,,2020-10-26 19:08:12,2020-10-26 19:08:15,2.729s,PASSED
"callTestCase(findTestCase(""Components/ClickBlueButtonsWithXPI""), [""Button"":""Create New Group"", ""Index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,Click Create New Group button.,,2020-10-26 19:08:15,2020-10-26 19:08:17,2.034s,PASSED
"callTestCase(findTestCase(""Components/VerifyTextPresentInPage""), [""TextToModify"":""Please fill up the mandatory fields."", ""index"":1], STOP_ON_FAILURE)",Chrome 86.0.4240.111,,,2020-10-26 19:08:17,2020-10-26 19:08:25,8.202s,PASSED
